What aspects of any tutor's approach to teaching best helped your learning?,What would you have liked any of the tutors to have done differently?
Simon – you are a boss! Great at explaining things,
They were always willing to help. Support via newsgroups / irc / extra tutes was excellent,
The dedication of the tutors was astounding. Simon answered questions on the newsgroups at 1.30am. WHO DOES THAT? Joel and Simon were outstanding.,
,Person5 All <he/she> does is 'Go read the man pages'.  Simon was helpful but he doesn't do the whole program for you. Helps in letting students understand more :)  <They may have mixed up negative and positive there>
Patrick is Good. Ding too.,They are generally nice and good tutes
Attention,
All tutors were well organised and very helpful,"Some sections, certain tutors went through some programming materials as if they were teaching. It would be good if this happened during every section"
Simon was friendly and very helpful. I also found Joel's contributions on the news group exceptional,
Patrick and Joel's epic use of the whiteboard,
,more structured tutorials with more consistent with each tutorial time
Sharing algorithm is pretty useful,
#swag +#yolo +#wizard <Simon was the only tutor evaluated on the other side>,peaches
She will talk nicely to pass me the logic that I needed <both Kimberley and Bec evaluated so can't tell which>,"Nop, they all derserve their hard work"
#attic,n/a
#yolo,#swag
Everything,nothing
The enthusiasm and passion they had for teaching was great,n/a
"Always helpful on newsgroups, lending helpful hand, being helpful and helping",
"Jaddison: very helpful on the newsgroups and facebook group, put in a lot of time to help students.  Ye Ding was a great help in CSSE2010",N/A
tutors were helpful and gave sound adive,
,Grow beards
All tutors are approachable and very experienced in their knowledge,
All tutors were fantastic for this course the amount of time they made available to us to help with assignments was invaluable they were always ready to answer any questions.,
"Person7 was awesome as always. Person8 provided very good help and explained things, so that they were easily interprited. Person9 also provided very clear and helpful advice, For <their> sake one hopes <they> isn't hit on too much.",
"Simon's jovial attitude was awesome, he was also extremely willing to help at anytime. Great guy and great tutor.",
"Joel Addison, the voice of an angel, you were the best!  Simon, your swag levels were over 9000, tone it down a bit man.  Jaco, thanks for all the help!   Thanks you so much to all of the tutors! You were all very approachable and superhelpful. You made this semester awesome!",
Explaination of course work. Joel Addison's voice of an angel / <can't read this bit> Simon's wittyness. Jaco great explaination of the work. Kim being able to show different approach to work. Rebecca always helping with everything.,To drink less coffee. To kick people out of the room who weren't in the course.
"Demonstrations, explanations. Very Helpful!",
,KFC!
Simon and Joel very helpful explained everything clearly,
,Teaching programming approach in small groups. I often waited +1hrs to ask questions ad answers usually didn't help much ? although cannot expect tutors to find code error by looking at it for a few minutes
Simon – absolutely fantastic ? perfect explanations on a simple + advanced level. Pat – Humo <yes that's what it says>,
Very helpful. Pat's code examples were good. As were Simon's and Joel's. Stephen was always helpful and taught me a lot,
Being really active on facebook and newsgroup,Too sexy and distracting <No indication who this refers to>
